1000-010-247;452231-0002;GT40-000
1000-010-250;452202-0003;GT15-002
1000-010-251;704136-0003;GT22-014
1000-010-252;702404-0002;GT15-003
1000-010-253;720855-0006/724930-0006;GT15-035
1000-010-253T;724930-0006;GT15-035
1000-010-254;700960-0011;GT15-062
1000-010-255;702213-0001;GT20-002
1000-010-256;454027-0001;T2-013
1000-010-258;702014-0017;GTP-001
1000-010-261;762965-0001/762965-0007;GT17-028
1000-010-261B;762965-0017;GT17-083
1000-010-262;454205-0006;GT20-011
1000-010-263;466704-0203;T4-058
1000-010-264;465105-0002;TA45-001
1000-010-265;740611-0003/740611-0002/782403-0001;GT15-051
1000-010-267;454216-0003;GT15-000
1000-010-268;757886-0003/757886-0004;GT16-001
1000-010-269;755042-0002/755373-0001/767835-0001;GT17-010
1000-010-271;721021-0001/778445-0002;GT15-032
1000-010-272;766340-0001/773720-0001;GT17-026
1000-010-273;765015-0004;GT17-059
1000-010-273B;765015-0006;GT17-059
1000-010-274;717626-0001/703894-0003/705204-0001/717625-0001;GT15-034
1000-010-275;755300-0001;GT18-008
1000-010-276;706844-0001;GT42-003
1000-010-278;466618-0027;TA45-009
1000-010-279;733952-0001/710060-0001;GT17-014
1000-010-280;767378-0010;GT17-050
1000-010-281;736554-0011/736554-0015;GT37-004
1000-010-282;743250-0005/743250-0014/743250-0025;GT37-006
1000-010-283;737955-0006/737955-0007/737955-0008;GT37-032
1000-010-284;465088-0003/465088-0001;T4-020
1000-010-286;731877-0001/731877-0009;GT17-024
1000-010-288;723167-0001/723167-0002/723167-0004;GT20-036
1000-010-289;717410-0007;GT25-012
1000-010-302;755964-0005;GT18-011
1000-010-303;761154-0003;GT20-039
1000-010-304;743250-0001/743250-0002/743250-0004/743250-0013/743250-0024;GT37-002
1000-010-304B;725390-0001/725390-0002/725390-0003/725390-0005/725390-0006;GT37-005
1000-010-305;702650-0001/702650-0003/702650-0005;GTP-000
1000-010-306;736088-0003;GT22-002
1000-010-308;465183-0005/465183-0008;T2-003
1000-010-309;452214-0003;GT22-028
1000-010-309B;729546-0002;GT25-024
1000-010-310;700625-0001;GT20-017
1000-010-311;753519-0007;GT17-016
1000-010-312;711009-0001;GT22-003
1000-010-314;755507-0003;GT17-048
1000-010-315;720477-0001;GT17-011
1000-010-316;758532-0012/763647-0019;GT17-033
1000-010-317;454219-0003;GT15-021
1000-010-318;452055-0004;T2-000
1000-010-319;762785-0002;GT15-063
1000-010-320;757349-0003;GT15-064
1000-010-321;768625-0002;GT22-021
1000-010-322;773098-0002;GT22-027
1000-010-324;721204-0001;GT25-000
1000-010-325;701164-0002;GT15P-001
1000-010-326;704226-0007;GT17-041
1000-010-327;742730-0001;GT22-005
1000-010-328;742417-0001,753392-0001/3/6/9/12/15/16/17/18;GT22-008
1000-010-329;712541-0002;GT22-006
1000-010-330;727210-0001;GT17-003
1000-010-331;700935-0001;GT20-010
1000-010-332;708366-0001/708366-0002;GT15-036
1000-010-333;454150-0004;TD25-001
1000-010-334;766237-0004/787873-0001;GT22-031
1000-010-335;708001-0001;GT12-002
1000-010-336;714787-0015;GTA-017
1000-010-337;724652-0001;GT22-010
1000-010-338;729161-0001/729161-0005;GT37-007
1000-010-339;751363-0001;GT37-009
1000-010-340;721675-0005;GT17-069
1000-010-341;729125-0007/753708-0005/759394-0002;GT17-053
1000-010-342;762463-0002;GT15-070
1000-010-343;729325-0002/729325-0003;GT17-017
1000-010-344;767720-0002/769708-0004;GT20-032
1000-010-345;720168-0001;GT20-004
1000-010-346;763360-0001;GT20-050
1000-010-348;466780-0001;T4-019
1000-010-349;465153-0003;T2-008
1000-010-350;769701-0001;GT17-078
1000-010-350B;777159-0003;GT17-078
1000-010-351;752990-0006/752990-0007;GT17-054
1000-010-352;758870-0001;GT14-004
1000-010-354;760699-0003;GT17-045
1000-010-355;722687-0001;GT20-021
1000-010-356;764609-0001;GT17-042
1000-010-357;701729-0009/701729-0015;GT15-060
1000-010-358;720931-0002/720931-0003/720931-0004;GT20-030
1000-010-359;758351-0015/758351-0024;GT22-025
1000-010-359B;769909-0010;GT22-026
1000-010-359C;758351-0003;GT22-023
1000-010-359D;765985-0001;GT22-033
1000-010-359E;758352-0005/758352-0009/758352-0011/758352-0013/758352-0015/758352-0017/758352-0021/758352-0022;GT22-040
1000-010-359G;758353-0005/758353-0007/758353-0009/758353-0011/758353-0013/758353-0015/758353-0017/758353-0019/758353-0020/758353-0022;GT22-045
1000-010-360;757608-0001/761399-0001/761399-0002;GT20-037
1000-010-361;728680-0010/728680-0015;GT17-007
1000-010-362;730640-0002;GT17-067
1000-010-363;703389-0002;GT20-040
1000-010-364;765326-0002;GT20-007
1000-010-365;729403-0003;GT22-001
1000-010-366;708257-0001/708258-0001;GT20-009
1000-010-366B;721843-0001;GT20-019
1000-010-367;704090-0001;GT25-015
1000-010-368;466856-0005;T2-032
1000-010-369;763655-0001;T4-006
1000-010-370;465819-0003;T3-027
1000-010-372;466646-0041;T4-074
1000-010-373;754743-0001;GT25-008
1000-010-374;454006-0002;GT15-007
1000-010-375;704409-0001;GT32-002
1000-010-376;757042-0010/757042-0013;GT17-043
1000-010-377;452098-0002;GT15-045
1000-010-378;775274-0002/775274-0003;GT14-008
1000-010-379;751243-0002;GT20-044
1000-010-380;773087-0002/774833-0002/770116-0001;GT15-074
1000-010-381;711736-0003/711736-0016/711736-0026/785827-0027;GT25-006
1000-010-381B;711736-0024;GT25-006
1000-010-382;780502-0001;GT17-055
1000-010-383;723739-0002;GT20-031
1000-010-384;769040-0001;GT17-040
1000-010-385;466674-0003;T3-046
1000-010-386;727264-0001;GT20-018
1000-010-388;703012-0002;GT37-010
1000-010-388B;703013-0006;GT37-013
1000-010-389;735059-0004;GT45-019
1000-010-390;709942-0001/709942-0009;GT35-006
1000-010-391;452234-0001;GT32-003
1000-010-392;714508-0003;GT42-008
1000-010-393;786363-0004;GT22-083
1000-010-393B;786363-0005;GT22-083
1000-010-395;465332-0001;TV-007
1000-010-396;466527-0001;TV-003
1000-010-397;466191-0001;TV-002
1000-010-398;465679-0001;TV-004
1000-010-399;465098-0001;TV-005
1000-010-400;465480-0001;TV-006
1000-010-401;765155-0004/765155-0007;GT20-035
1000-010-402;760698-0002/760698-0004/760700-0003;GT17-061
1000-010-403;786137-0001;GT15-073
1000-010-404T;733676-0003;GT20-006-C
1000-010-405;704344-0001;GT25-010
1000-010-407;760680-0001/761618-0001/761618-0003;GT17-038
1000-010-408;465318-0003;T3-026
1000-010-409;466588-0013;T4-017
1000-010-410;454150-0006;TD25-000
1000-010-411;452164-0001;GT45-003
1000-010-412;760774-0003;GT17-008
1000-010-413;706680-0001;GT15-055
1000-010-414;733783-0007;GT15-057
1000-010-415;723190-0003;GT20-045
1000-010-416;767933-0008;GT20-046
1000-010-416B;758226-0002/758226-0004/758226-0008/758226-0010/758226-0014;GT17-086
1000-010-417;727461-0005;GT18-006
1000-010-418;452235-0001;GT42-000
1000-010-419;452229-0002;GT42-007
1000-010-420;709693-0001;GT22-030
1000-010-421;726372-0005;GT23-000
1000-010-422;727463-0003;GT18-009
1000-010-424;799171-0001/799171-0002;GT12-003
1000-010-425;803956-0002;GT14-011
1000-010-428;705954-0009;GT20-038
1000-010-429;767094-0002;GT17-075
1000-010-430;775517-0001;GT12-001
1000-010-431;785448-0003/5;GT14-002
1000-010-431B;817047-0001;GT14-038
1000-010-432;709050-0003/803955-0003/803955-0005;GT14-006
1000-010-436;751400-0001;GT37-035
1000-010-437;751361-0001;GT37-009
1000-010-438;465218-0003;T4-025
1000-010-440;750432-0005;GT45-021
1000-010-441;781743-0001/781743-0003;GT20-062
1000-010-441B;777318-0001;GT20-047
1000-010-445;773721-0001;GT17-076
1000-010-447;700980-0005;GT45-004
1000-010-449;797001-0001;GT17-070
1000-010-450;804963-0001;GT14-016
1000-010-451;796122-0005;GT20-053
1000-010-452;788290-0001;GT15-090
1000-010-454;452174-0010;GT42-001
1000-010-457;784011-0005/806291-0002/824060-0007;GT12-010
1000-010-458;807068-0001/766891-0001;GT14-001
1000-010-459;792290-0002;GT14-018
1000-010-460;724249-0001;GT14-001
1000-010-461;767851-0001;GT23-004
1000-010-462;701745-0001;GT15-047-1
1000-010-463;771903-0003;GT15-088
1000-010-464T;816785-0003;GT14-017
1000-010-465;766470-0002;GT17-080
1000-010-466;789016-0002;GT12-005
1000-010-467;787556-0016/787556-0017;GT17-060
1000-010-467B;788479-0003/788479-0006;GT17-111
1000-010-469;763333-0001/763333-0002/763333-0003/763333-0004/763333-0005;GT37-015
1000-010-470;716665-0001;GT17-049
1000-010-471;760497-0001/777250-0001;GT17-046
1000-010-471B;777251-0001;GT17-062
1000-010-471C;736168-0002;GT17-063
1000-010-474;711229-0006;T2-131
1000-010-475;810944-0005;GT14-015
1000-010-476;780708-0005;GT12-006
1000-010-477;750773-0017;GT22-038
1000-010-478;741785-0016;GT17-085
1000-010-480;753959-0005;GT22-022
1000-010-481;798166-0007/812971-0002;GT22-035
1000-010-482;768652-0001;GT16-003
1000-010-483;452098-0004/452151-0004;GT15-046
1000-010-484;454155-0002/701072-0001;GT15-027
1000-010-485;452244-0004;GT15-071
1000-010-486;701470-0002/701470-0001;GT15-042
1000-010-487;715645-0002;GT20-028
1000-010-488;725864-0001;GT20-035
1000-010-488B;750441-0005;GT18-013
1000-010-489;727262-0001;GT20-005
1000-010-490;466778-0008;T3-017
1000-010-491T;816612-0001;GT06-001
1000-010-492T;813860-0001/829847-0006;GT12-011
1000-010-493;734868-0001;GT20-049
1000-010-496;798128-0002/798128-0004/798128-0006;GT17-073
1000-010-497;702154-0013;T4-084
1000-010-498;781504-0007/781504-0006;GT14-013
1000-010-499;778401-0005;GT14-009
1000-010-500;452134-0002;GT35-002
1000-010-501;711017-0001;GT22-004
1000-010-501B;743436-0001;GT23-002
1000-010-502;452191-0001;GT20-009
1000-010-503;452191-0003;GT20-008
1000-010-504;766259-0001;GT14-010
1000-010-505;703863-0002;GT15-056
1000-010-506;786997-0001;GT15-086
1000-010-507;789773-0018;GT20-061
1000-010-507B;789773-0026;GT20-061
1000-010-508;750952-0001;GT17-084
1000-010-509;779591-0004;GT15-082
1000-010-511;765277-0001;GT22-047
1000-010-512T;821784-0002;GT14-025
1000-010-513;778400-0005;GT17-092
1000-010-514;709942-0002;GT35-001
1000-010-515;714792-0002;GTA-006
1000-010-516;795637-0001;GT15-081
1000-010-517;452085-0009;T4-030
1000-010-518;714788-0001;GTA-018
1000-010-518T;714788-0009;GT42-052
1000-010-519;753546-0014;GT17-088
1000-010-520;740911-0003;GT17-077
1000-010-521;763263-0002;GT20-060
1000-010-522;790179-0002;GT15-091
1000-010-523;786880-0006;GT17-074
1000-010-524;787630-0001;GT17-091
1000-010-524B;782217-0003;GT17-118
1000-010-525;465213-0001;TA45-002
1000-010-526;765016-0006;GT17-090
1000-010-527;466713-0001;TMF-000
1000-010-529;466610-0002;TW-000
1000-010-530;466670-0013;T4-155
1000-010-533;466950-0001;TA45-008
1000-010-534;717628-0001/717628-0003;GT18-012
1000-010-535;452024-0005;T4-147
1000-010-536;452047-0001;T2-020
1000-010-537;770116-0001;GT15-080
1000-010-539;802733-0004;GT17-174
1000-010-540;762550-0003;GT45-006
1000-010-542;761433-0002;GT15-076
1000-010-543T;821942-0009;GT15-103
1000-010-544;753544-0020;GT17-089
1000-010-546T;801374-0004;GT12-019
1000-010-548T;821943-0002;GT12-021
1000-010-549T;825758-0002;GT22-069
1000-010-550;790317-0006;GT15-099
1000-010-550B;790318-0008;GT15-100
1000-010-551;785437-0002;GT15-093
1000-010-552;743507-0009;GT22-046
1000-010-553;757246-0001;GT20-042
1000-010-554;757779-0022/0004/0010/0020/0021;GT20-051
1000-010-554B;762060-0006;GT20-051
1000-010-555;742289-0005;GT20-025
1000-010-556;784114-0003;GT17-095
1000-010-557;806498-0001;GT14-005
1000-010-557B;783583-0003/783583-0004;GT14-005
1000-010-557C;807489-0001;GT14-030
1000-010-557D;806497-0003;GT14-007
1000-010-558;818988-0001;GT14-022
1000-010-559;800891-0001;GT35-019
1000-010-560T;796155-0001;GT35-021
1000-010-561;715392-0001;T2-133
1000-010-562;752343-0006;GT15-096
1000-010-563;759622-0006;GT37-008
1000-010-564;759622-0006;GT37-008
1000-010-565;762931-0001;GT22-049
1000-010-566;785580-0006/800563-0002;GT35-027
1000-010-567;810358-0002(HP:810356-0001);DSGT-001-H
1000-010-568;810358-0002(LP:810357-0002);DSGT-001-L
1000-010-569;814306-0007;GT22-064
1000-010-570;800799-0002/800799-0003;GT37-030
1000-010-571;465044-0025;T4-032
1000-010-572;741155-0003;GT55-000
1000-010-573;830232-0005;GT17-113R
1000-010-574;783762-0002;GT20-074
1000-010-575B;821613-0002/821613-0004;GT22-073
1000-010-576;741154-0006;GT42-024
1000-010-578T;779839-0025;GT42-019
1000-010-579T;758160-0007/758204-0007/758204-0009;GTA-002-C1
1000-010-580;450-1871;GT22-086
1000-010-581T;819872-0001;GT12-029
1000-010-582T;758204-0008/758204-0006;GTA-002-C2
1000-010-583;727271-0006/727271-0007/727271-0008/727271-0009/727271-0010/727271-0011;GT18-018
1000-010-584;733701-0001;GT17-116
1000-010-585;743115-0001/743115-0003;GT23-007
1000-010-586;763980-0004/763980-0005/763980-0007;GT15-085
1000-010-587;769674-0003/769674-0004;GT17-094
1000-010-588;794097-0002/794097-0003;GT12-012
1000-010-589;795680-0003;GT14-041
1000-010-590;765176-0001/765176-0002/765176-0003/775159-0001/782097-0001/783887-0001;GT17-064
1000-010-591T;822182-0004/822182-0008;GT20-070
1000-010-592;819968-0001;GT22-037
1000-010-595;848239-0004;GT42-036
1000-010-595B;848239-0010;GT42-037
1000-010-596;806094-0007;GT20-077
1000-010-597;787846-0001;GT32-016
1000-010-598;820021-0001;GT15-094
1000-010-599;2674A209;GT25-006
1000-010-600T;821866-0001;GT14-033
1000-010-601;777853-0005/777853-0006/777853-00010/777853-00011/777853-00013;GT22-034
1000-010-602T;821785-0002;GT14-047
1000-010-603;708866-0001/708867-0001;GT15-059
1000-010-605;778088-0001/770332-0001;DSGT-002-H
1000-010-606;778088-0001/778087-0001;DSGT-002-L
1000-010-607;788778-0001/788778-0002;GT14-012
1000-010-608;714306-0005/714306-0006;GT25-014
1000-010-609;730505-0002;T4-042
1000-010-610;812811-0004/812811-0001;GT12-015
1000-010-611;836254-0002;GT22-099
1000-010-612;774193-0003/774193-0004;GT14-023
1000-010-613;454220-0001;GT17-103
1000-010-614;466998-0001;TV-014
1000-010-615T;822053-0001;NGT-016BR
1000-010-616;760986-0010;GT20-085
1000-010-617;794877-0009;GTR-011
1000-010-618;760700-0004;GT17-066
1000-010-619;729161-0001/729161-0005/704194-0016;GT37-007
1000-010-620;715138-0005;GT37-047
1000-010-620B;466803-0015;GT37-019
1000-010-621;715136-0003;GT37-050
1000-010-622;815637-0015;GT25-048
1000-010-623T;822088-0009/822088-0003/822088-0006;GT10-000B
1000-010-624T;852915-0003;GT45-036B
1000-010-625;409300-0031;T4-041
1000-010-627T;825759-0002;GT12-026B
1000-010-628;706769-0001;GT25-034
1000-010-629T;805156-0003;GT14-042B
1000-010-630T;830688-0014;GT22-102
1000-010-631;789533-0001;GT14-020
1000-010-633T;838452-0002;GT14-046B
1000-010-635;762084-0002;GT22-050
1000-010-636T;841384-0001;GT06-004
1000-010-637T;833852-00001;GT12-032B
1000-010-638T;831157-0002;GT14-044B
1000-010-639;764070-0001;GT22-059
1000-010-640;762803-0001;GT25-022
1000-010-641;820802-0008;GT45-033
1000-010-642;821766-0004/826996-0002;GT45-056
1000-010-643T;836264-0001;GT12-059B
1000-010-644;768754-0002;GT17-120
1000-010-645T;836264-0001;GT12-059
1000-010-646T;830323-0003/830323-0006;GT14-048B
1000-010-647T;820371-0002/820371-0001;GT12-027
1000-010-648;842127-0001/775095-0001/769686-0001;GT23-008
1000-010-649;706844-0008/706844-0004;GT42-003
1000-010-650T;830233-0005/830233-0007/830233-0013/830233-0015;GT14-029BR
1000-010-651;792407-0014;GT45-033
1000-010-652;802718-0016;GT32-019-2
1000-010-653T;814698-0004;GT12-033B
1000-010-654T;840466-0012;GT45-043
1000-010-655;789830-0013;GT40-041
1000-010-656;738233-0001;GT25-005
1000-010-657;466646-0010;T4-027
1000-010-658;734852-0009;GT35-008
1000-010-659;811223-0008;GT37-038
1000-010-660;452281-0016;GT42-014
1000-010-661;848184-0002;GT14-074
1000-010-662;846108-0002;GT14-059
1000-010-663T;845851-0002;GT17-183B
1000-010-664;796399-0006;GT20-068
1000-010-665;821042-0010;NGT-000
1000-010-666;895368-0004;GT37-066
1000-010-667T;853603-0001;GT12-051B
1000-010-668T;836250-0001;NGT-004B
1000-010-670T;814697-0002;GT12-033B
1000-010-671;751578-0002;GT20-041
1000-010-672T;819976-0012;GT17-117BG
1000-010-673;819554-0008;GT15-117
1000-010-674;802706-0001;GT37-067
1000-010-675T;844572-0004;GT14-076
1000-010-676T;887157-0001;GT12-058B
1000-010-677;794786-0001;GT14-035
1000-010-678;808549-0004;GT17-123
1000-010-678B;806850-0003;GT17-081
1000-010-679T;839765-0001;GT17-153B
1000-010-680;841805-0020;GT40-028-1
1000-010-681T;822072-0004;GT14-055B
1000-010-682T;824168-0002;GT15-112-1B
1000-010-683T;888580-0001;GT20-099B
1000-010-684;804968-0004;GT20-081
1000-010-685T;873732-0001;GT14-048-1B
1000-010-686T;833715-0007;GT20-110B
1000-010-687T;839078-0001;GT20-072-1B
1000-010-688T;856652-0001;NGT-011B
1000-010-689T;805713-0004;DSGT-003-HB
1000-010-690;784783-0045;GT57-002
1000-010-691T;805713-0004;DSGT-000-LB
1000-010-692;831661-0013;GT40-050
1000-010-693T;848874-0023/­848874-0022;GT45-079
1000-010-694T;827388-0003;GT14-049B
1000-010-695T;825965-0008;DSGT-000-LB
1000-010-696;823559-0005/843059-0003;DSGT-006-H
